17.3.   & 1h        & project setup
20.4.   & 10h       & researching webassembly
21.4.   & 10h       & researching webassembly and wasi
23.4.   & 8h        & researching webassembly and designing itoa and atoi functions
24.4.   & 10h       & implementing webassembly lib
25.4.   & 4h        & implementing webassembly lib
27.4.   & 10h       & implementing scanner and parser
28.4.   & 12,5h     & implementing parser
29.4.   & 2,5h      & implementing parser
30.4.   & 1,5h      & implementing parser
5.5.    & 8h        & implementing analyzer
7.5.	& 11,5h	    & implementing analyzer and refactoring expression parsing
8.5.	& 13h	    & implementing analyzer
13.5.   & 9h	    & implementing stacker
14.5.	& 10,5h	    & implementing stacker and symbol table
15.5.	& 7,5h      & implementing stacker and symbol table
16.5.	& 11h       & implementing stacker and symbol table
17.5.	& 4h        & implementing stacker
18.5.	& 8,5h      & implementing stacker
19.5.	& 12h       & implementing wasmer and webassembly lib
20.5.	& 9h        & implementing webassembly lib and some code base refactoring
21.5.	& 10--        & 
